Variable:,tas
,"Cocos (Keeling) Islands","Administrative unit not available"
1901,26.43,26.43
1902,26.43,26.43
1903,26.43,26.43
1904,26.43,26.43
1905,26.43,26.43
1906,26.43,26.43
1907,26.43,26.43
1908,26.43,26.43
1909,26.43,26.43
1910,26.43,26.43
1911,26.43,26.43
1912,26.43,26.43
1913,26.43,26.43
1914,26.43,26.43
1915,26.43,26.43
1916,26.43,26.43
1917,26.43,26.43
1918,26.43,26.43
1919,26.43,26.43
1920,26.43,26.43
1921,26.43,26.43
1922,26.43,26.43
1923,26.43,26.43
1924,26.43,26.43
1925,26.43,26.43
1926,26.43,26.43
1927,26.43,26.43
1928,26.43,26.43
1929,26.43,26.43
1930,26.43,26.43
1931,26.43,26.43
1932,26.43,26.43
1933,26.43,26.43
1934,26.43,26.43
1935,26.43,26.43
1936,26.43,26.43
1937,26.43,26.43
1938,26.43,26.43
1939,26.43,26.43
1940,26.43,26.43
1941,26.43,26.43
1942,26.43,26.43
1943,26.43,26.43
1944,26.43,26.43
1945,26.43,26.43
1946,26.43,26.43
1947,26.43,26.43
1948,26.43,26.43
1949,26.68,26.68
1950,26.37,26.37
1951,26.30,26.30
1952,26.78,26.78
1953,26.61,26.61
1954,26.61,26.61
1955,26.32,26.32
1956,26.21,26.21
1957,26.61,26.61
1958,26.94,26.94
1959,26.78,26.78
1960,26.11,26.11
1961,26.32,26.32
1962,26.33,26.33
1963,26.29,26.29
1964,26.33,26.33
1965,26.20,26.20
1966,26.17,26.17
1967,26.39,26.39
1968,25.92,25.92
1969,26.65,26.65
1970,26.46,26.46
1971,26.34,26.34
1972,26.53,26.53
1973,26.68,26.68
1974,26.29,26.29
1975,26.27,26.27
1976,26.49,26.49
1977,26.73,26.73
1978,26.34,26.34
1979,26.65,26.65
1980,26.67,26.67
1981,26.43,26.43
1982,26.43,26.43
1983,27.21,27.21
1984,26.81,26.81
1985,26.75,26.75
1986,26.04,26.04
1987,26.72,26.72
1988,26.60,26.60
1989,26.57,26.57
1990,26.65,26.65
1991,26.65,26.65
1992,26.49,26.49
1993,26.53,26.53
1994,26.26,26.26
1995,26.55,26.55
1996,26.87,26.87
1997,26.60,26.60
1998,27.28,27.28
1999,27.01,27.01
2000,26.48,26.48
2001,26.48,26.48
2002,26.85,26.85
2003,26.75,26.75
2004,26.69,26.69
2005,26.64,26.64
2006,26.58,26.58
2007,26.67,26.67
2008,26.51,26.51
2009,26.69,26.69
2010,26.98,26.98
2011,26.85,26.85
2012,27.04,27.04
2013,27.03,27.03
2014,27.21,27.21
2015,27.30,27.30
2016,27.16,27.16
2017,26.77,26.77
2018,26.85,26.85
2019,26.93,26.93
2020,27.11,27.11
